Date,Mwig40tr,TBSP,EDO,ACWI,GovBondG7,GlobalCorporate,Gold,GABHDG,EURO_STOXX_Leverage,Fallen_Angels,Euro_Corporate_Bond
2011-04-01,0.014,0.005,0.003,0.014,0.003,,0.038,,0.098,,0.028
2011-05-01,0.010,0.008,0.003,-0.012,0.009,,0.009,,-0.080,,-0.015
2011-06-01,0.008,0.008,0.003,-0.016,-0.002,,-0.020,,-0.004,,0.000
2011-07-01,-0.032,0.013,0.004,0.005,0.043,,0.105,,-0.116,,0.019
2011-08-01,-0.036,0.005,0.003,-0.080,0.023,,0.105,,-0.264,,-0.008
2011-09-01,-0.113,0.011,0.003,0.000,0.094,,-0.014,,-0.088,,0.019
2011-10-01,-0.101,-0.004,0.004,0.142,0.030,,0.097,,0.267,,0.090
2011-11-01,0.068,0.011,0.004,0.002,0.015,,0.047,,-0.060,,-0.041
2011-12-01,-0.063,-0.005,0.004,0.066,0.077,,-0.037,,0.015,,0.057
2012-01-01,0.001,0.006,0.004,0.031,-0.003,,0.079,,0.084,,0.021
2012-02-01,0.084,0.014,0.004,-0.024,-0.086,,-0.057,,0.023,,-0.035
2012-03-01,0.050,0.007,0.004,-0.013,-0.032,,-0.080,,-0.055,,-0.018
2012-04-01,0.013,0.004,0.004,0.005,0.029,,0.009,,-0.117,,0.006
2012-05-01,-0.035,0.006,0.004,-0.022,0.081,,0.013,,-0.117,,0.009
2012-06-01,-0.048,0.003,0.004,0.088,0.021,,0.063,,0.206,,0.049
2012-07-01,0.025,0.013,0.005,-0.000,0.003,,0.000,,0.013,,-0.015
2012-08-01,-0.023,0.017,0.004,-0.029,-0.042,,-0.035,,0.069,,-0.015
2012-09-01,-0.004,0.004,0.005,0.019,0.002,,0.064,,0.027,,0.020
2012-10-01,0.063,0.008,0.004,-0.024,-0.029,-0.007,-0.049,,0.027,,-0.002
2012-11-01,0.023,0.010,0.004,0.019,-0.003,0.008,0.010,,0.063,,0.014
2012-12-01,0.041,0.026,0.004,-0.001,-0.035,-0.018,-0.059,,0.041,,0.002
2013-01-01,0.019,0.015,0.004,0.014,-0.050,-0.035,-0.030,,0.052,,-0.016
2013-02-01,0.018,-0.005,0.004,0.060,0.055,0.055,0.012,,-0.029,,0.040
2013-03-01,0.004,-0.004,0.004,0.033,0.004,0.012,0.020,,-0.019,,-0.006
2013-04-01,0.006,0.009,0.004,0.015,-0.015,0.009,-0.094,,0.090,,0.021
2013-05-01,-0.024,0.030,0.004,-0.001,-0.020,-0.023,-0.050,,0.068,,-0.006
2013-06-01,0.104,-0.010,0.004,-0.008,0.021,-0.003,-0.127,,-0.091,,0.011
2013-07-01,-0.012,-0.022,0.003,0.046,0.003,0.014,0.101,,0.147,,0.022
2013-08-01,0.057,0.011,0.003,-0.035,-0.013,-0.021,0.046,,-0.052,,-0.020
2013-09-01,0.056,-0.009,0.003,0.034,-0.007,0.002,-0.065,,0.136,,0.010
2013-10-01,0.063,0.004,0.003,0.018,-0.007,-0.008,-0.023,,0.112,,-0.000
2013-11-01,0.065,0.015,0.003,0.007,-0.023,-0.008,-0.060,,0.007,,-0.007
2013-12-01,0.006,-0.007,0.003,0.010,-0.018,-0.008,-0.048,,0.020,,0.001
2014-01-01,-0.047,0.008,0.002,-0.032,0.027,0.017,0.050,,-0.069,,0.002
2014-02-01,0.011,-0.012,0.002,0.050,0.010,0.017,0.061,,0.116,,0.029
2014-03-01,0.059,0.015,0.002,-0.015,-0.023,-0.019,-0.046,,-0.015,,-0.018
2014-04-01,-0.027,0.008,0.002,0.007,0.006,0.010,-0.006,,0.032,,0.010
2014-05-01,-0.007,0.008,0.002,0.050,0.030,0.035,-0.003,,0.071,,0.018
2014-06-01,0.023,0.013,0.002,-0.000,-0.012,-0.014,0.031,,-0.021,,-0.010
2014-07-01,-0.010,0.013,0.002,0.014,0.019,0.019,0.003,,-0.064,,0.010
2014-08-01,-0.034,0.001,0.002,0.043,0.025,0.028,0.020,,0.040,,0.017
2014-09-01,0.032,0.017,0.002,0.022,0.018,0.032,-0.001,,0.043,,0.009
2014-10-01,0.071,0.010,0.002,0.005,-0.002,0.001,-0.045,,-0.078,,-0.003
2014-11-01,-0.024,0.016,0.001,0.033,0.010,0.018,0.032,,0.104,,0.018
2014-12-01,0.003,0.005,0.001,-0.002,0.016,0.011,0.031,,-0.075,,-0.005
2015-01-01,-0.022,-0.003,0.001,0.084,0.102,0.105,0.157,,0.161,,0.034
2015-02-01,0.015,0.020,0.001,0.037,-0.031,-0.023,-0.054,,0.125,,-0.018
2015-03-01,0.034,-0.006,0.001,0.020,0.027,0.025,0.012,,0.046,,-0.010
2015-04-01,0.021,-0.001,0.001,-0.029,-0.050,-0.050,-0.062,,-0.054,,-0.022
2015-05-01,0.038,-0.009,0.001,0.013,-0.008,0.003,0.024,,-0.007,,-0.013
2015-06-01,-0.002,-0.009,0.001,-0.026,-0.001,-0.015,-0.020,,-0.065,,-0.003
2015-07-01,-0.037,-0.007,0.001,0.050,0.033,0.044,-0.024,,0.124,,0.032
2015-08-01,0.045,0.013,0.001,-0.099,-0.019,-0.038,-0.001,,-0.192,,-0.020
2015-09-01,-0.036,-0.001,0.001,-0.014,0.034,0.023,0.003,,-0.086,,0.014
2015-10-01,-0.025,0.011,0.001,0.101,0.013,0.027,0.047,,0.219,,0.018
2015-11-01,0.029,0.008,0.001,0.034,0.027,0.031,-0.031,,0.054,,0.008
2015-12-01,-0.007,0.001,0.001,-0.041,-0.014,-0.027,-0.024,,-0.131,,-0.004
2016-01-01,-0.024,-0.005,0.001,-0.064,0.017,-0.004,0.042,,-0.135,,0.005
2016-02-01,-0.054,0.002,0.001,0.033,0.065,0.048,0.155,,-0.037,,0.041
2016-03-01,0.033,0.008,0.001,0.012,-0.042,-0.024,-0.057,,0.023,,-0.002
2016-04-01,0.041,0.005,0.001,-0.011,-0.015,-0.013,0.012,,0.000,,-0.022
2016-05-01,0.004,-0.006,0.001,0.056,0.047,0.046,-0.007,,0.088,,0.034
2016-06-01,-0.034,-0.002,0.001,0.002,0.044,0.023,0.098,,-0.128,,0.013
2016-07-01,-0.020,0.010,0.001,0.039,-0.006,0.013,0.012,,0.087,0.024,0.014
2016-08-01,0.083,0.002,0.001,-0.002,-0.009,-0.004,-0.030,,0.017,0.014,-0.001
2016-09-01,0.096,0.003,0.001,0.006,-0.002,-0.001,0.009,,-0.012,0.007,0.001
2016-10-01,0.022,-0.003,0.001,-0.013,-0.025,-0.014,-0.034,,0.021,0.004,-0.023
2016-11-01,0.021,-0.004,0.001,0.040,-0.011,0.003,-0.044,,0.003,0.016,-0.008
2016-12-01,-0.003,-0.015,0.001,0.067,0.032,0.048,0.027,,0.204,0.059,0.041
2017-01-01,0.033,0.002,0.001,-0.004,-0.026,-0.022,0.014,,-0.045,-0.007,-0.017
2017-02-01,0.101,-0.001,0.001,0.024,0.002,0.003,0.031,,0.038,0.003,-0.007
2017-03-01,0.042,0.004,0.001,0.000,-0.009,-0.013,-0.021,,0.113,-0.009,-0.007
2017-04-01,-0.020,0.013,0.001,-0.024,-0.023,-0.025,-0.022,,0.021,-0.021,-0.012
2017-05-01,0.025,0.003,0.001,-0.005,-0.019,-0.011,-0.027,,0.026,-0.014,0.003
2017-06-01,-0.004,0.010,0.001,-0.022,-0.028,-0.023,-0.045,,-0.068,-0.021,-0.016
2017-07-01,0.027,0.002,0.001,0.013,-0.006,0.001,0.005,,0.017,0.007,0.020
2017-08-01,0.010,0.001,0.001,0.001,0.008,0.005,0.032,,-0.010,0.002,0.011
2017-09-01,-0.001,0.005,0.001,0.020,-0.008,-0.002,-0.022,,0.104,0.013,-0.004
2017-10-01,0.016,-0.000,0.002,0.052,0.026,0.031,0.020,,0.062,0.034,0.027
2017-11-01,-0.023,0.002,0.002,-0.016,-0.028,-0.029,-0.027,,-0.071,-0.029,-0.019
2017-12-01,-0.026,0.005,0.002,-0.004,-0.015,-0.013,-0.008,-0.005,-0.043,-0.015,-0.011
2018-01-01,0.021,0.004,0.002,0.011,-0.030,-0.038,-0.007,0.006,0.056,-0.023,-0.009
2018-02-01,0.036,-0.000,0.002,-0.028,0.011,-0.005,-0.007,-0.015,-0.097,-0.005,-0.006
2018-03-01,-0.060,0.007,0.002,-0.024,0.011,0.001,0.001,0.016,-0.039,-0.006,0.005
2018-04-01,-0.035,0.010,0.003,0.040,0.009,0.018,0.021,-0.007,0.132,0.030,0.009
2018-05-01,0.011,0.003,0.003,0.041,0.032,0.031,0.032,-0.002,-0.037,0.019,0.003
2018-06-01,-0.008,-0.002,0.003,0.017,0.014,0.017,-0.021,0.014,0.014,0.022,0.018
2018-07-01,-0.054,0.002,0.003,0.037,0.005,0.013,-0.017,0.012,0.094,0.018,0.016
2018-08-01,0.037,0.003,0.003,-0.007,-0.017,-0.013,-0.030,-0.021,-0.094,-0.015,-0.022
2018-09-01,-0.026,0.002,0.003,0.018,-0.004,0.009,-0.000,-0.002,0.012,0.020,0.003
2018-10-01,-0.015,0.001,0.003,-0.059,0.012,0.001,0.041,-0.016,-0.120,-0.003,-0.007
2018-11-01,-0.084,0.003,0.003,0.026,0.020,0.007,0.013,0.018,-0.000,-0.005,0.008
2018-12-01,0.033,0.007,0.003,-0.088,0.005,-0.007,0.032,0.008,-0.115,-0.028,-0.010
2019-01-01,-0.009,0.010,0.003,0.075,0.008,0.019,0.028,0.015,0.112,0.036,0.010
2019-02-01,0.043,0.005,0.002,0.027,-0.008,0.002,-0.003,-0.012,0.082,0.016,0.000
2019-03-01,0.014,-0.005,0.003,0.040,0.038,0.043,0.008,0.022,0.047,0.033,0.024
2019-04-01,0.004,0.006,0.002,0.036,-0.003,0.006,-0.008,-0.003,0.112,0.013,0.007
2019-05-01,-0.001,-0.004,0.002,-0.057,0.020,0.008,0.012,0.009,-0.106,-0.008,-0.006
2019-06-01,-0.038,0.012,0.002,0.043,-0.003,0.006,0.065,0.021,0.123,0.009,0.015
2019-07-01,0.037,0.007,0.002,0.015,0.010,0.013,0.025,-0.011,-0.010,0.018,0.006
2019-08-01,-0.025,0.009,0.002,-0.003,0.053,0.041,0.093,0.031,-0.014,0.029,0.017
2019-09-01,-0.040,0.010,0.002,0.056,0.016,0.026,0.004,0.009,0.108,0.037,0.012
2019-10-01,-0.018,-0.003,0.003,0.002,-0.020,-0.013,-0.008,0.006,0.019,-0.012,-0.003
2019-11-01,0.003,0.003,0.003,0.015,-0.024,-0.012,-0.043,-0.032,0.031,-0.005,-0.027
2019-12-01,0.021,0.000,0.003,0.025,-0.005,-0.002,0.032,0.018,0.036,0.010,0.012
2020-01-01,0.032,-0.002,0.003,-0.009,0.017,0.018,0.042,-0.001,-0.067,0.009,-0.003
2020-02-01,0.026,0.001,0.003,-0.065,0.032,0.020,0.033,0.017,-0.158,0.006,0.006
2020-03-01,-0.106,0.013,0.003,-0.126,0.010,-0.063,0.009,-0.015,-0.328,-0.110,-0.061
2020-04-01,-0.204,0.013,0.003,0.175,0.066,0.112,0.122,0.073,0.157,0.170,0.092
2020-05-01,0.151,0.012,0.003,0.017,-0.020,-0.012,-0.011,0.002,0.090,0.013,-0.001
2020-06-01,0.026,0.015,0.003,0.005,-0.026,-0.006,-0.004,-0.012,0.101,-0.001,-0.008
2020-07-01,0.038,-0.003,0.003,-0.005,-0.020,-0.015,0.050,0.031,-0.034,0.003,0.015
2020-08-01,0.029,0.005,0.003,0.045,-0.025,-0.018,-0.019,-0.009,0.055,0.001,-0.006
2020-09-01,0.040,-0.004,0.003,-0.016,0.016,0.008,-0.020,-0.007,-0.052,-0.004,-0.000
2020-10-01,-0.030,0.005,0.004,0.006,0.035,0.030,0.028,0.031,-0.118,0.038,0.038
2020-11-01,-0.103,0.007,0.004,0.116,0.003,0.023,-0.070,0.035,0.410,0.051,0.027
2020-12-01,0.166,-0.001,0.004,-0.006,-0.039,-0.039,0.019,-0.015,0.006,-0.025,-0.026
2021-01-01,0.067,0.000,0.004,0.025,0.013,0.020,0.015,0.010,-0.020,0.031,0.017
2021-02-01,0.033,0.003,0.004,0.015,-0.032,-0.022,-0.072,-0.026,0.129,-0.004,-0.017
2021-03-01,0.050,-0.012,0.004,0.062,0.013,0.014,0.003,-0.019,0.115,0.023,0.002
2021-04-01,0.012,-0.000,0.004,0.038,0.005,0.009,0.040,0.038,0.064,0.014,0.025
2021-05-01,0.035,-0.002,0.004,-0.010,-0.018,-0.015,0.047,-0.007,0.023,-0.017,-0.017
2021-06-01,0.098,-0.007,0.004,0.022,0.001,0.010,-0.064,-0.026,0.005,0.014,0.000
2021-07-01,-0.009,0.003,0.004,0.016,0.025,0.021,0.044,0.022,0.022,0.018,0.000
2021-08-01,0.028,0.006,0.004,0.042,0.011,0.011,0.010,0.007,0.065,0.020,0.000
2021-09-01,0.060,-0.003,0.004,-0.030,-0.010,-0.004,-0.028,-0.028,-0.077,0.004,0.000
2021-10-01,0.004,-0.011,0.004,0.065,0.009,0.014,0.029,0.017,0.126,0.014,0.000
2021-11-01,0.088,-0.032,0.004,0.001,0.027,0.017,0.046,-0.002,-0.086,0.006,0.000
2021-12-01,-0.066,-0.025,0.004,0.054,0.006,0.017,0.022,0.009,0.127,0.031,0.000
2022-01-01,-0.005,-0.021,0.004,-0.049,-0.021,-0.031,-0.014,-0.035,-0.072,-0.035,0.000
2022-02-01,-0.035,-0.005,0.004,-0.031,-0.016,-0.026,0.058,-0.014,-0.121,-0.025,0.000
2022-03-01,-0.100,-0.003,0.004,0.059,-0.001,0.010,0.053,-0.005,0.004,0.023,0.000
2022-04-01,0.041,-0.042,0.006,-0.042,-0.016,-0.020,0.024,-0.066,-0.053,-0.012,0.000
2022-05-01,-0.080,-0.039,0.006,-0.009,-0.011,-0.005,-0.048,0.008,0.027,-0.008,0.000
2022-06-01,0.006,0.002,0.006,-0.073,-0.018,-0.025,-0.000,-0.051,-0.187,-0.055,0.000
2022-07-01,-0.060,-0.010,0.007,0.118,0.062,0.074,0.008,0.047,0.180,0.088,0.000
2022-08-01,0.033,0.050,0.007,-0.009,-0.015,-0.010,0.006,-0.031,-0.094,0.007,0.000
2022-09-01,-0.075,-0.017,0.007,-0.075,-0.028,-0.034,-0.004,-0.054,-0.114,-0.023,0.000
2022-10-01,-0.074,-0.021,0.009,0.072,0.004,0.008,-0.009,0.021,0.219,0.025,0.000
2022-11-01,0.077,-0.035,0.009,0.000,-0.032,-0.021,-0.007,0.017,0.165,-0.035,0.000
2022-12-01,0.075,0.069,0.009,-0.074,-0.038,-0.035,-0.004,-0.005,-0.096,-0.028,0.000
